id,created at,text,screen_names,followers_count,friends_count,name,lat,lon,place name,place type
1125479593694117888,Mon May 06 19:17:00 +0000 2019,"@TopesdGama Venían de obsequio con mi S10, hasta el momento geniales en todos los aspectos !!",Carlos_florez_c,0,103,Carlos,,,,
1125479731783139329,Mon May 06 19:17:33 +0000 2019,"RT @TheGrefgYT: 💎🔥 ¡SORTEO 10.000.000 DE SUSCRIPTORES! 🔥💎

x10 PS4 PRO
x10 Galaxy S10

20 GANADORES ;)

Vídeo ▶ https://t.co/VbWEzV9mwQ
Lin…",AnitaClapton5,7,444,Anita Clapton,,,,
1125479753929175041,Mon May 06 19:17:38 +0000 2019,"RT @litGaws: Rules to get a Free IPhone Xs or Samsung S10:

-Have the money on Paypal ready
(America 20$ / Europe 15$ / Afrika and Asia 20$…",ShawnSarazin1,1012,4892,Crypto@Sarazin,,,,
1125479779476561920,Mon May 06 19:17:44 +0000 2019,"Galaxy S10+はいつ頃出るんじゃ。
my 7edgeのライフがヤバ気なのだが。",azuuuuusa0426,4,25,あずさ@コナ垢,,,,
1125479790952185856,Mon May 06 19:17:47 +0000 2019,@livewithmusic03 Oi eu queria saber se vc joga fortinait se não vc poderia medar uma skin que exclusiva do s10,Otavio20391850,1,3,Otavio,,,,
1125479878327820289,Mon May 06 19:18:08 +0000 2019,"RT @litGaws: Rules to get a Free IPhone Xs or Samsung S10:

-Have the money on Paypal ready
(America 20$ / Europe 15$ / Afrika and Asia 20$…",missvanilaice,260,388,rist,,,,
1125479931952156678,Mon May 06 19:18:20 +0000 2019,Hola @SamsungArg Porque a la gente de la televisión le regalan celulares como x ejemplo a @AguCasanova que le regal… https://t.co/WxUHvfDHrx,roodriitorre,21,229,Rodrigo Torre,,,,
1125479974335655936,Mon May 06 19:18:30 +0000 2019,"RT @litGaws: Giveaway 

IPhone XS Max and Samsung S10

Rules:
-Retweet
-Activate my Notifications 
-Like

🏁Ends in 4 Days🏁 https://t.co/yGY…",JaoudeMarc,1,77,Marc Bou Jaoude,,,,
1125480083450474497,Mon May 06 19:18:56 +0000 2019,https://t.co/DjFP4dhQCw https://t.co/q65YdiBHBZ,TechNewsToday5,9,15,Tech News Today,,,,
1125480102639353856,Mon May 06 19:19:01 +0000 2019,"@cezarau48358093 hola moço gostaria de saber se vc conhece fortnite é um jogo, se não vc poderia instalar na seu ce… https://t.co/eW66oBL7Of",BraianGoetze,0,1,Braian Goetze,,,,
1125480181433491462,Mon May 06 19:19:20 +0000 2019,"RT @SomeGadgetGuy: Just the hilarious reminder that according to two (now muted) Samsung white knights in my comments, my saying ""a G8 is e…",razgriz2520,716,293,Abraham Arthemius,,,,
1125480194095980544,Mon May 06 19:19:23 +0000 2019,"RT @GabrielMilks: フォートナイト 

💫アイコニック導入 を10人💫

💫Galaxy s10 を10人💫

🎁プレゼント致します🎁

🌕参加方法🌕

このアカウントをフォロー

そしてこのツイートをRTするだけ

〆切は5.23

#フォートナイト 
#アイ…",MacmillanKozak,9,35,おさきまくら,,,,
1125480220298022912,Mon May 06 19:19:29 +0000 2019,VOCE PODE GANHAR UM SAMSUNG GALAXY S10 PLUS https://t.co/4qrbLJ5Uoe,querol_pablo,4,181,Pablo Querol,,,,
1125480256339574784,Mon May 06 19:19:38 +0000 2019,@YOLOMYJK اوف لو عندي اختك كنت بقولها تشتري لي كل البومات بتس وبلاك بينك والبومب ارمي ولايت ستيك بلاك بينك وبعد تشت… https://t.co/P42s3MvDuM,Saudtbie,499,972,Saud is Listening to Map of the Soul: Persona,,,,
1125480256486305792,Mon May 06 19:19:38 +0000 2019,"RT @litGaws: Giveaway 

IPhone XS Max and Samsung S10

Rules:
-Retweet
-Activate my Notifications 
-Like

🏁Ends in 4 Days🏁 https://t.co/yGY…",Miri_Ry13,97,121,J.K.,,,,
1125480270528954368,Mon May 06 19:19:41 +0000 2019,VOCE PODE GANHAR UM SAMSUNG GALAXY S10 PLUS https://t.co/EWNGgXMbMx,Delmojesus,0,5,Delmo,,,,
1125480271028129793,Mon May 06 19:19:41 +0000 2019,"RT @JayneStorm38G: Added this too my wishlist. I know its not sexy but I need it for my new phone xxxx
NXET Wireless Charger Stand, 10W Fas…",Zeilier69,560,3115,Zeilier Caffline,,,,
1125480293744431104,Mon May 06 19:19:47 +0000 2019,"As she should, iPhone or nothing lol",94entrap_,245,239,Mansa Mcfly🇿🇲,,,,
1125480356465999873,Mon May 06 19:20:02 +0000 2019,IPhone 8 Plus Whitestone Dome Install Full Video #screenprotector #screen #cracked #Galaxy #S10 #iPhone #apple… https://t.co/pmHh9hnxbs,domeglass1,96,2200,WhitestoneDomeGlass,,,,
1125480368726003712,Mon May 06 19:20:04 +0000 2019,RT @allforcrypto1: Invest in the AFCT/Allforcrypto IEO on May the 15 for your chance to win a Samsung Galwaxy S10 .For terms and conditions…,NaliniThakurLuv,191,471,Chowkidar Nalini Thakur,,,,
1125480391161389056,Mon May 06 19:20:10 +0000 2019,Acho que vou troca meu s8+ pelo s10+ mês que vem,FalaSerioPedro,4382,1110,PEDRO FRANÇA,,,"Cabo Frio, Brasil",city
1125480542080782336,Mon May 06 19:20:46 +0000 2019,@Depeojo @BadmanTobi,Eneeoolah,672,618,Shoyinka eniola,,,,
