id,created at,text,screen_names,followers_count,friends_count,name,lat,lon,place name,place type
1125508849287553029,Mon May 06 21:13:15 +0000 2019,"RT @News_Ejazah: جاهزين ..؟

الجائزة: ( جهاز iPhone XS 📱 )

المسابقة بتكون بحساب الراعي
نحن مجرد داعمين حفظكم الله
السحب عندهم

بتشارك ضرور…",ylISBRDD1QjKOrQ,3,25,عع,,,,
1125508850629709824,Mon May 06 21:13:15 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",ateer7009,17,50,اثير,,,,
1125508852919750664,Mon May 06 21:13:16 +0000 2019,"RT @ABU_AKT: 🛑 مسابقة 🛑

الجائزة : ( 3 جهاز iPhone XS 📱 )

الشروط ضروري تعمل : 🛑

1-رتويت

2- تابع 👈🏻 @zd_8i

3- أكتب تم

#مفروشات_العبدالل…",abode813,307,591,سعد,,,,
1125508854865899520,Mon May 06 21:13:16 +0000 2019,"RT @ALABDULLATIF: #مفروشات_العبداللطيف_15_ايفون 
من صاحب الـ iPhone XS الأول❓
🔺 موعد السحب بعد 12 ساعة ⏳

يرجى التأكد من تطبيق الشروط👇🏼
htt…",rm77ii,4,15,r.7,,,,
1125508856820506629,Mon May 06 21:13:17 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",zainab56036313,0,1,zainab abdelrhman,,,,
1125508858024202241,Mon May 06 21:13:17 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",u71lli,71,12,جواهر ❤️,,,,
1125508859274121217,Mon May 06 21:13:17 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",Maram_20001,17,71,Mavix,,,,
1125508860603772928,Mon May 06 21:13:17 +0000 2019,"RT @ABU_AKT: 🛑 مسابقة 🛑

الجائزة : ( 3 جهاز iPhone XS 📱 )

الشروط ضروري تعمل : 🛑

1-رتويت

2- تابع 👈🏻 @zd_8i

3- أكتب تم

#مفروشات_العبدالل…",nagaam123,40,36,معيض قباني,,,,
1125508860985344001,Mon May 06 21:13:18 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",Love145you,843,1395,مطليات عالم الجمال,,,,
1125508861178331136,Mon May 06 21:13:18 +0000 2019,"RT @ALABDULLATIF: #مفروشات_العبداللطيف_15_ايفون 
من صاحب الـ iPhone XS الأول❓
🔺 موعد السحب بعد 12 ساعة ⏳

يرجى التأكد من تطبيق الشروط👇🏼
htt…",N83j3,2,13,نآيف 💛,,,,
1125508868728082433,Mon May 06 21:13:19 +0000 2019,"RT @ALABDULLATIF: #مفروشات_العبداللطيف_15_ايفون 
من صاحب الـ iPhone XS الأول❓
🔺 موعد السحب بعد 12 ساعة ⏳

يرجى التأكد من تطبيق الشروط👇🏼
htt…",aagaser06,1625,4805,احمد,,,,
1125508874637856771,Mon May 06 21:13:21 +0000 2019,"RT @ALABDULLATIF: • أذكر في أي شهر نزل القرآن الكريم
وادخل السحب على iPhone XS📱
جوائزنا في رمضان (15) iPhoneXS

الشروط :
➊ متابعة حساباتنا…",siiin30,40,128,سيـُن,,,,
